cmdutils.c
line,function
L1413,new_output_stream;
L1599,parse_matrix_coeffs;
L1617,read_file;
L1645,get_ost_filters;
L1665,check_streamcopy_filters;
L1679,new_video_stream;
L1877,new_audio_stream;
L1950,new_data_stream;
L1963,new_unknown_stream;
L1976,new_attachment_stream;
L1984,new_subtitle_stream;
L2012,opt_streamid;
L2034,copy_chapters;
L2077,init_output_filter;
L2119,init_complex_filters;
L2131,open_output_file;
L2780,opt_target;
L2923,opt_vstats_file;
L2930,opt_vstats;
L2946,opt_video_frames;
L2952,opt_audio_frames;
L2958,opt_data_frames;
L2964,opt_default_new;
L2984,opt_preset;
L3032,opt_old2new;
L3044,opt_bitrate;
L3060,opt_qscale;
L3077,opt_profile;
L3089,opt_video_filters;
L3095,opt_audio_filters;
L3101,opt_vsync;
L3113,opt_timecode;
L3127,opt_channel_layout;
L3163,opt_audio_qscale;
L3169,opt_filter_complex;
L3184,opt_filter_complex_script;
L3201,show_help_default;
L3273,show_usage;
L3290,open_files;
L3291,int;
L3324,ffmpeg_parse_options;
L3382,opt_progress;
L3399,OFFSET;


